Date,Open,High,Low,Close,Adj. Close,Change,Volume
20-Jun-25,145.45,146.2,142.65,143.85,143.84,-1.12%,"242,956,157"
18-Jun-25,144.01,145.65,143.12,145.48,145.47,0.94%,"161,494,121"
17-Jun-25,144.49,145.22,143.78,144.12,144.11,-0.39%,"139,108,000"
16-Jun-25,143.35,146.18,143.2,144.69,144.68,1.92%,"183,133,666"
13-Jun-25,142.48,143.58,140.86,141.97,141.96,-2.09%,"180,820,565"
12-Jun-25,141.97,145,141.85,145,144.99,1.52%,"162,364,991"
11-Jun-25,144.61,144.99,141.87,142.83,142.82,-0.78%,"167,694,044"
10-Jun-25,142.69,144.29,141.53,143.96,143.94,0.93%,"155,881,897"
9-Jun-25,143.19,145,141.94,142.63,142.61,0.64%,"185,114,494"
6-Jun-25,142.51,143.27,141.51,141.72,141.7,1.24%,"153,986,153"
5-Jun-25,142.17,144,138.83,139.99,139.97,-1.36%,"232,410,759"
4-Jun-25,142.19,142.39,139.55,141.92,141.9,0.50%,"167,120,819"
3-Jun-25,138.78,142,137.95,141.22,141.2,2.80%,"225,578,783"
2-Jun-25,135.49,138.12,135.4,137.38,137.36,1.67%,"197,663,116"
30-May-25,138.72,139.62,132.92,135.13,135.11,-2.92%,"333,170,851"
29-May-25,142.25,143.49,137.91,139.19,139.17,3.25%,"370,615,167"
28-May-25,136.03,137.25,134.79,134.81,134.79,-0.51%,"304,021,146"
27-May-25,134.15,135.66,133.31,135.5,135.48,3.21%,"192,953,613"
23-May-25,130,132.68,129.16,131.29,131.27,-1.16%,"198,821,324"
22-May-25,132.23,134.25,131.55,132.83,132.81,0.78%,"187,343,954"
21-May-25,133.06,137.4,130.59,131.8,131.78,-1.92%,"270,608,738"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
