Date,Open,High,Low,Close,Adj. Close,Change,Volume
11-Jun-25,179.77,180.37,176.75,177.35,177.19,-0.70%,"31,646,757"
10-Jun-25,176.2,181.11,174.91,178.6,178.44,1.43%,"61,766,121"
9-Jun-25,174.54,176.47,174.37,176.09,175.93,1.39%,"28,935,906"
6-Jun-25,170.83,174.5,170.83,173.68,173.31,3.25%,"35,731,832"
5-Jun-25,170.34,170.93,167.59,168.21,167.86,0.10%,"36,444,564"
4-Jun-25,166.74,168.22,166.36,168.05,167.7,1.13%,"26,900,838"
3-Jun-25,167.49,168.48,165.28,166.18,165.83,-1.69%,"45,084,903"
2-Jun-25,167.84,169.87,167.39,169.03,168.67,-1.58%,"38,612,272"
30-May-25,171.35,172.21,167.44,171.74,171.38,-0.07%,"52,639,911"
29-May-25,174,174.42,170.63,171.86,171.5,-0.29%,"29,373,803"
28-May-25,173.16,175.27,171.91,172.36,172,-0.31%,"34,783,997"
27-May-25,170.16,173.17,170,172.9,172.54,2.63%,"37,995,670"
23-May-25,169.06,169.96,167.89,168.47,168.12,-1.40%,"35,211,439"
22-May-25,171.85,176.77,170.71,170.87,170.51,1.37%,"74,864,418"
21-May-25,163.69,173.14,163.56,168.56,168.21,2.79%,"73,415,956"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
